Filename,"Relative Frequency of NOUN (per 10,000 words)","Relative Frequency of VERB (per 10,000 words)","Relative Frequency of ADJ (per 10,000 words)","Relative Frequency of ADV (per 10,000 words)",Unique PER,Unique LOC,Unique ORG
0101.a5.txt,2040.1606425702812,1084.3373493975903,763.0522088353414,409.6385542168675,0,1,1
0102.a5.txt,1657.4585635359115,1033.9384372533546,876.0852407261247,268.3504340962904,0,7,5
0103.a5.txt,1844.484629294756,1103.0741410488245,623.869801084991,388.7884267631103,0,8,7
0104.a5.txt,1897.4820143884892,935.2517985611511,638.4892086330935,368.705035971223,0,6,6
0105.a5.txt,1530.5164319248827,1042.2535211267605,553.9906103286385,582.1596244131456,0,12,3
0106.a5.txt,1996.1427193828351,964.3201542912246,848.6017357762778,655.7377049180328,0,0,0
0107.a5.txt,2000.0,1220.7792207792209,779.2207792207791,545.4545454545454,0,0,0
0108.a5.txt,2099.9219359875096,1061.6705698672913,765.0273224043716,327.8688524590164,0,0,6
0111.a5.txt,1669.776119402985,1044.776119402985,680.9701492537314,307.8358208955224,0,9,4
0112.a5.txt,2171.5817694369975,1081.3226094727436,643.43163538874,580.875781948168,0,0,2
0115.a5.txt,1329.8791018998274,1079.447322970639,751.2953367875648,483.5924006908463,0,3,2
0119.a5.txt,1837.7483443708609,1092.7152317880796,736.7549668874173,231.78807947019868,0,9,3
0121.a5.txt,1543.5356200527706,1029.023746701847,613.4564643799472,382.5857519788918,0,0,6
0122.a5.txt,1757.3595004460306,1025.8697591436219,722.5691347011597,365.7448706512043,0,0,1
0125.a5.txt,2228.626320845341,1008.6455331412104,883.7656099903938,480.3073967339097,0,0,2
0128.a5.txt,1945.7889641819943,1132.623426911907,832.5266214908034,484.027105517909,0,7,0
0130.a5.txt,1658.7301587301586,928.5714285714286,738.0952380952381,285.7142857142857,0,3,1
0134.a5.txt,1752.1704814522493,986.5824782951854,710.3393843725335,473.559589581689,0,4,7
0137.a5.txt,1797.020484171322,1061.4525139664804,577.2811918063314,456.23836126629425,0,7,11
0139.a5.txt,1340.8723747980614,1195.4765751211633,525.0403877221324,315.0242326332795,0,3,6
0140.a5.txt,1716.3504968383018,1029.810298102981,632.3396567299006,280.03613369467024,0,8,12
0149.a5.txt,2579.3650793650795,1238.095238095238,825.3968253968254,365.0793650793651,0,0,2
0157.a5.txt,1737.2134038800705,1172.8395061728395,634.9206349206349,590.8289241622574,0,0,0
0158.a5.txt,1580.3336259877085,1202.809482001756,763.8279192273925,544.3371378402107,0,0,4
0159.a5.txt,2112.182296231376,1060.473269062226,964.0666082383874,333.04119193689746,0,0,1
0161.a5.txt,2190.784155214228,881.1641067097817,970.0889248181082,258.6903799514955,0,0,3
0163.a5.txt,2313.546423135464,936.0730593607306,882.800608828006,433.78995433789953,0,0,0
0165.a5.txt,2054.195804195804,987.7622377622378,830.4195804195805,288.46153846153845,0,0,4
0171.a5.txt,1572.463768115942,949.2753623188406,521.7391304347826,384.0579710144928,0,14,2
0178.a5.txt,1519.6743554952511,1017.6390773405698,793.7584803256445,461.3297150610583,0,30,6
0182.a5.txt,2265.0602409638554,1076.305220883534,738.9558232931727,425.7028112449799,0,0,3
0185.a5.txt,1805.7921635434413,1047.7001703577512,724.0204429301533,221.46507666098807,0,8,3
0186.a5.txt,1959.3495934959349,967.4796747967479,886.178861788618,398.37398373983746,0,0,0
0187.a5.txt,2282.608695652174,1105.072463768116,778.9855072463768,362.3188405797102,0,1,5
0188.a5.txt,1559.3483320403413,1055.0814584949574,744.7633824670287,457.7191621411948,0,1,2
0192.a5.txt,1658.206429780034,1116.751269035533,651.4382402707276,439.932318104907,0,2,7
0193.a5.txt,2187.7691645133505,1076.6580534022396,835.4866494401377,396.2101636520241,0,0,1
0197.a5.txt,1505.2888527257933,886.899918633035,374.28803905614325,333.6045565500407,0,1,15
0198.a5.txt,2137.9980563654035,1010.689990281827,806.6083576287658,369.290573372206,0,0,0
0199.a5.txt,1814.7086914995225,993.3142311365807,773.6389684813753,382.0439350525311,0,11,1
0200.a5.txt,1478.2608695652175,1165.217391304348,695.6521739130435,426.0869565217391,0,4,5
0206.a5.txt,1480.8787632221317,951.9934906427991,707.8925956061839,358.01464605370217,0,1,6
0214.a5.txt,1628.3185840707965,1097.345132743363,663.7168141592921,309.7345132743363,0,11,3
0215.a5.txt,1762.3918174665619,952.006294256491,558.6152635719906,283.2415420928403,0,2,9
0219.a5.txt,2063.063063063063,981.9819819819819,891.891891891892,603.6036036036036,0,0,3
0222.a5.txt,1771.539206195547,1151.9845111326233,696.999031945789,416.2633107454017,0,1,1
0223.a5.txt,1586.9400151860289,1032.649962034928,675.7782839787396,387.24373576309796,0,2,6
0227.a5.txt,1625.5442670537009,928.8824383164006,761.9738751814223,348.3309143686502,0,3,1
0234.a5.txt,1588.3859948761742,922.2886421861656,512.3825789923143,333.04867634500425,0,7,4
0238.a5.txt,1898.1972428419936,1145.2810180275717,668.0805938494168,328.73806998939557,0,2,0
1003.a5.txt,2204.6511627906975,1041.860465116279,716.2790697674419,241.86046511627907,0,0,0
1005.a5.txt,1798.4496124031007,1000.0,581.3953488372093,356.5891472868217,0,4,10
1006.a5.txt,1605.0495942290352,1018.9359783588819,658.2506762849413,405.77096483318303,0,11,2
1008.a5.txt,1921.8500797448166,1020.7336523125997,877.1929824561403,430.622009569378,0,0,1
1010.a5.txt,2230.6959008579597,877.025738798856,886.558627264061,305.0524308865586,0,0,10
1012.a5.txt,1975.0,1025.0,741.6666666666667,325.0,0,0,0
1013.a5.txt,1675.392670157068,1125.65445026178,689.3542757417102,296.6841186736475,0,4,17
1014.a5.txt,1851.8518518518517,1012.3456790123457,790.1234567901234,353.9094650205761,0,13,4
1018.a5.txt,2037.9965457685664,958.5492227979274,898.1001727115718,276.33851468048357,0,2,0
1021.a5.txt,1824.0620957309184,1138.4217335058215,659.7671410090556,401.03492884864164,0,0,6
1022.a5.txt,2377.1224307417338,1152.8150134048258,1054.5129579982126,455.7640750670242,0,0,0
1023.a5.txt,1647.2416472416473,994.5609945609946,675.990675990676,435.1204351204351,0,9,3
1032.a5.txt,2159.468438538206,1162.7906976744187,664.4518272425249,573.0897009966777,0,0,1
1034.a5.txt,1813.5245901639344,1014.344262295082,747.9508196721312,379.09836065573774,0,9,9
1036.a5.txt,1384.2173350582148,944.3725743855109,659.7671410090556,310.47865459249675,0,1,4
1041.a5.txt,1636.675235646958,865.4670094258784,719.7943444730078,437.0179948586118,0,2,6
1043.a5.txt,1473.4088927637315,1115.9546643417611,627.7244986922407,540.5405405405405,0,1,0
1048.a5.txt,2151.702786377709,1006.1919504643962,673.374613003096,410.2167182662539,0,0,6
1050.a5.txt,1609.6579476861166,1106.6398390342054,764.5875251509054,482.897384305835,0,5,1
1055.a5.txt,1799.8163452708907,1065.1974288337924,1046.831955922865,459.1368227731864,0,3,1
1057.a5.txt,1370.3099510603588,1207.1778140293638,611.7455138662316,342.5774877650897,0,2,2
1061.a5.txt,1457.286432160804,1072.0268006700167,586.2646566164154,234.50586264656616,0,2,3
1062.a5.txt,1488.3346741753821,868.8656476267096,772.3250201126307,450.5229283990346,0,2,6
1064.a5.txt,2182.700080840744,1236.8633791430882,606.3055780113177,582.053354890865,0,0,2
1065.a5.txt,1816.6804293971925,966.1436829066887,726.672171758877,388.10900082576387,0,12,4
1067.a5.txt,1746.166950596252,1064.7359454855196,638.8415672913117,340.71550255536624,0,11,5
1068.a5.txt,1963.6363636363635,1309.0909090909092,727.2727272727273,509.0909090909091,0,3,2
1070.a5.txt,1354.5454545454547,1190.909090909091,700.0000000000001,327.2727272727273,0,4,2
1072.a5.txt,1390.3345724907063,1055.7620817843865,542.7509293680297,460.96654275092936,0,4,8
1074.a5.txt,1906.474820143885,1070.1438848920864,845.3237410071943,530.5755395683453,0,1,1
1081.a5.txt,2037.914691943128,1071.0900473933648,900.473933649289,417.06161137440756,0,0,4
1088.a5.txt,1358.1314878892733,1115.916955017301,856.401384083045,320.0692041522491,0,0,0
1094.a5.txt,1482.479784366577,1347.7088948787061,548.0682839173405,251.57232704402517,0,2,2
1095.a5.txt,1487.3140857392825,1041.1198600174978,813.6482939632546,419.9475065616798,0,11,1
1099.a5.txt,1540.4475043029258,1110.1549053356282,611.0154905335628,335.6282271944923,0,2,0
1100.a5.txt,1587.0307167235494,1117.7474402730375,571.6723549488054,324.23208191126275,0,3,14
1102.a5.txt,2066.4869721473497,1006.2893081761007,691.8238993710692,314.4654088050315,0,3,2
1104.a5.txt,1669.4630872483222,989.9328859060403,578.8590604026846,444.6308724832215,0,15,12
1112.a5.txt,1993.9577039274925,1087.6132930513595,1019.6374622356495,521.1480362537765,0,0,1
1121.a5.txt,1509.1575091575091,1062.2710622710622,673.992673992674,505.4945054945055,0,9,8
2005.a5.txt,1921.6757741347906,1120.2185792349726,619.3078324225866,336.976320582878,0,4,11
2007.a5.txt,1534.154535274356,873.4602463605822,705.4871220604703,559.9104143337066,0,6,2
2012.a5.txt,2037.735849056604,830.188679245283,716.9811320754717,369.811320754717,0,6,4
2014.a5.txt,2200.6220839813377,1018.6625194401245,832.0373250388803,458.78693623639197,0,0,3
2015.a5.txt,1845.6883509833585,945.53706505295,763.9939485627837,332.8290468986384,0,4,13
2019.a5.txt,1804.4444444444443,1164.4444444444446,666.6666666666666,364.44444444444446,0,5,6
2020.a5.txt,2007.011393514461,911.4811568799298,815.0744960560911,254.16301489921122,0,2,6
2021.a5.txt,1753.4027221777421,960.7686148919136,944.755804643715,344.275420336269,0,6,8
2026.a5.txt,1791.044776119403,839.5522388059702,736.9402985074628,438.43283582089555,0,7,2
2028.a5.txt,2038.4351407000686,912.8345916266301,734.3857240905971,439.2587508579272,0,2,1
2032.a5.txt,1687.7637130801686,902.9535864978903,987.3417721518987,337.55274261603375,0,2,3
